;liste_acteurs;nb_comedie;nb_drame
81;Enzo Di Vecchia;1;0
82;Kevin Heffernan;2;0
83;Kate Harrington;0;1
84;Faye Wong;1;1
85;Mark Duplass;5;2
86;Josh Groban;1;0
87;Milica Mihajlovic;1;0
88;Seth Dousman;1;0
89;Timothy Dalton;2;2
90;Adan Canto;0;1
91;Tzi Ma;2;3
92;Marsha Timothy;0;1
93;Karin Düwel;1;0
94;Cesare Gelli;3;0
95;Barbara Bach;3;0
96;Shinsuke Ashida;0;1
97;Vanessa Nunes;1;0
98;Liang Chaowei;0;2
99;Lucy Davis;1;0
100;Teresa Johnston;1;0
101;Zsolt Kovács;1;0
102;Francine York;1;0
103;Pierce Brosnan;7;4
104;Bruno Pischiutta;0;1
105;Noah Taylor;2;3
106;Nuccia Fumo;1;0
107;Adam Hanuszkiewicz;0;1
108;Terence Locke;0;3
109;Minoru Chiaki;0;2
110;Rubi Dalma;2;0
111;Luca Tufano;0;4
112;Alison Leggatt;1;0
113;Anita Majumdar;0;2
114;Geno Diana;1;0
115;Jeanne Sabourin;0;1
116;Nina Kunzendorf;1;0
117;Noël Roquevert;2;4
118;Stephanie McVay;1;0
119;Ann Hearn;0;1
120;Eva Nürnberg;0;1
121;Charles Hbeiliny;0;1
122;Antonio Naddeo;1;0
123;Misuzu Kanno;0;2
124;Max Schreck;0;1
125;Tina Apicella;0;1
126;Franco Marino;0;1
127;William O'Leary;0;1
128;Shanyn Leigh;0;2
129;Maximilian Brückner;0;4
130;Victoria Jackson;0;1
131;Pauline Burlet;0;1
132;Tommy Givogre;0;1
133;Luigi Maria Burruano;3;8
134;Mathias Kniesbeck;0;2
135;Laurence de Monaghan;1;0
136;Isabelle Nélisse;0;1
137;Fred Sadoff;0;1
138;Eddy Challita;0;1
139;Jonathan Schaech;0;1
140;David Hornsby;1;0
141;Gig Young;5;5
142;Katheryn Winnick;4;0
143;Enzo La Torre;1;0
144;Hugo Becker;0;3
145;Christiane Schaumburg-Müller;1;0
146;Wang Hong-wei;0;1
147;John Michael Higgins;7;0
148;Kurodo Maki;0;2
149;David Farrar;0;3
150;Gabriel Marian Skowerski;0;1
151;Yoshitaka Zushi;0;1
152;David Dorfman;0;1
153;Ann Dowd;1;4
154;Miroslav Ivanov;0;1
155;Jeffrey Sigua;0;2
156;Paolo Rossini;0;1
157;Jean-Pierre Cassel;4;5
158;Mark Kelly;1;1
159;Per Schaanning;1;0
160;Tomás Pozzi;1;0
161;Dado Ruspoli;1;0
162;Beppe De Rosa;1;0
163;Tim Thomerson;2;0
164;Helena Norowicz;0;1
165;Elise Larnicol;1;0
166;Carmen Ruiz;1;0
167;Linda Steinhoff;0;1
168;Shuzhen Zhou;1;0
169;Maria Teresa Albani;1;0
170;Peter Frechette;1;0
171;Hamid Djavadan;1;0
172;Harold Innocent;1;0
173;Jason Sudeikis;14;1
174;Ana Claudai Talancon;1;0
175;Claire Lautier;1;0
176;John Hodiak;0;5
177;Calisto Beltramo;1;0
178;David Hecter;0;2
179;Ingrid Pitt;0;1
180;Benjamin Schnau;0;1
181;Gérard Jugnot;6;1
182;Evi Marandi;4;0
183;Cole Petersen;1;0
184;Viola Sartoretto;1;1
185;Jim Parrack;1;2
186;Betsy Drake;3;0
187;Marco Cadau;1;0
188;Otis Day;1;0
189;Franco Oppini;4;0
190;Jean Yanne;2;3
191;David Schultz;1;0
192;Christina Murphy;1;0
193;Florijan Ajdini;1;0
194;Marco Giordana;0;1
195;Michael Palin;6;0
196;Mireille Granelli;1;0
197;Ronen Rubinstein;0;1
198;Hsu Kuei-Ying;0;1
199;Les Chantery;0;1
200;Bernard Yerlés;1;0
201;Antoine Berry-Roger;0;1
202;David Moritz;0;1
203;Daisy Head;0;1
204;Meaghan Jette Martin;1;0
205;Abdul Khalim Mamutsiev;0;3
206;Michele Griffo;0;1
207;Sarayu Blue;1;0
208;Justin Timberlake;4;1
209;Nancy Davis;0;5
210;Brice Fournier;0;2
211;Paul Anthony Anderson;0;2
212;Isabella Arnaud;0;1
213;Liron Levo;0;4
214;Mara Venier;7;1
215;Fioretta Mari;3;0
216;Alessandro Di Carlo;3;0
217;Francesco Grillo;0;1
218;Jacky Cheung;0;1
219;Esther Rolle;1;0
220;Saxon DeCocq;0;1
221;Fanny Marchiò;1;0
222;Davide Ornaro;1;0
223;Lauryn Luccarini;1;0
224;Julian Voloshin;1;0
225;Carlo Tamberlani;0;2
226;Devyn A. Tyler;0;2
227;Rogelio Galisteo;0;1
228;Kurt Angle;1;0
229;Troy Kotsur;1;0
230;Kelli Barrett;1;0
231;Antoine Sire;0;1
232;Tina Majorino;2;1
233;Rebecca De Mornay;6;1
234;Joel Brooks;1;0
235;Eamonn Owens;1;1
236;Ranbir Kapoor;1;0
237;Terry-Thomas;7;0
238;Caolan Byrne;0;1
239;Catherine Salée;1;3
240;Luz Márquez;1;0
241;Andrée Damant;0;1
242;Roberto Caporali;1;0
243;Miguel Ligero;1;0
244;Péter Andorai;0;3
245;Maureen O'Hara;8;2
246;Odessa Young;0;6
247;Liz Celeste;0;1
248;Julia McIlvaine;0;1
249;Claudia Lerro;2;0
250;Mark Pellegrino;3;0
251;Enrico Ciotti;0;1
252;Susanna Mekhralieva;0;1
253;Ashley Jones;1;0
254;Robert Urich;1;0
255;Jeroen Perceval;0;1
256;Dree Hemingway;0;1
257;Evaristo Marquez;0;1
258;Debra Clinger;1;0
259;Emilio De Marchi;0;1
260;Agustin Nieves;0;1
261;Harvey Corman;1;0
262;Maria Cuadra;1;1
263;Claudia Bianchi;1;0
264;Mario Scarpetta;3;1
265;Lionel Jeffries;3;1
266;Casper Van Dien;0;3
267;Geneviève Laroche;0;1
268;Katia Follesa;1;0
269;Colin Baiocchi;1;0
270;Koji Wada;0;1
271;Carolina Lanzoni;0;1
272;Elisa Calin;1;0
273;Zoe Lister Jones;1;0
274;Nathalie Pascaud;1;0
275;Frances Pole;1;0
276;Anna Baryshnikov;0;1
277;Davide Reali;1;0
278;Kai Fischer;0;2
279;Amitabh Bachchan;2;2
280;Sôsuke Ikematsu;0;1
281;Umberto Di Grazia;2;0
282;Justin Rain;0;2
283;Michael J. Shannon;1;0
284;Cho Jae-hyun;0;1
285;Luis Bermejo;1;1
286;Anna Castillo;2;1
287;Beth Broderick;1;0
288;Lily-Rose Depp;0;2
289;Carlyn Burchell;0;2
290;Françoise Widhoff;0;2
291;Vasil Kakhniashvili;1;0
292;Andrea Bræin Hovig;0;2
293;Corinna Lo Castro;0;1
294;Roland Amstutz;2;0
295;Francesca Zezza;1;0
296;Maxi Iglesias;1;0
297;Hedda Linton;1;0
298;Tony Meyer;0;2
299;Spring Byington;4;1
300;Laura Redi;1;0
301;Drew Pillsbury;0;1
302;Ernesto Alberti Violetti;0;4
303;Didier Bezace;0;1
304;Massimo Lodolo;1;0
305;Mae Whitman;0;3
306;Youssef Habashi;1;0
307;Helmut Berger;3;2
308;Martin Eidissen;1;0
309;Robert Timmins;1;0
310;Guglielmo Scilla;3;0
311;Yao Anlian;0;1
312;Ville Virtanen;0;1
313;Saskia Reeves;1;0
314;Vasias Eleftheriadis;0;1
315;Masumi Harukawa;0;2
316;Karlo Severdija;0;1
317;Audie Murphy;0;1
318;Amy Hargreaves;0;1
319;Jeremy Sumpter;1;0
320;Nicole Shirer;0;1
321;Jeremy Mockridge;1;0
322;Alan Caillou;1;0
323;Barbara Esposito;0;1
324;Abhi Bhattacharya;0;1
325;Aleksandra Revenko;0;1
326;Giorgio Dolfin;0;1
327;Norma Bengell;0;4
328;César Saracho;0;1
329;Spencer Curnutt;0;1
330;Barbara Abbondanza;1;0
331;Tae Kimura;0;1
332;John Lavachielli;1;1
333;Pablito Calvo;1;0
334;Alicia Sixtos;1;0
335;Scott Arthur;0;1
336;Thom Allison;1;0
337;Raymond Walburn;4;0
338;Cheri Oteri;1;0
339;Garrett Wareing;0;1
340;Phyllis Diller;1;0
341;Juliette Dol;1;0
342;Zoë Saldana;4;2
343;Justin Chadwick;0;2
344;Angelica Ippolito;3;1
345;James Tupper;1;3
346;Anna-Maria Nabirye;0;1
347;Renaud Rutten;0;1
348;Fisayo Akinade;0;1
349;Delphine MacCarthy;0;1
350;Henry McCarty;1;0
351;Natalya Plyestova;0;1
352;Marie-Christine Dieme;1;0
353;Cecilia Milocco;1;0
354;Angelo Pintus;2;0
355;Patrick Labyorteaux;1;0
356;Jamey Sheridan;0;2
357;Fred Armisen;3;0
358;Gustave Kervern;3;1
359;Caprice Benedetti;0;1
360;Ulrich Muehe;0;1
361;Amarin Cholvibul;1;0
362;Jessica Chaffin;1;0
363;Sharunas Bartas;0;2
364;Franco Melone;0;1
365;Michele Busiello;0;1
366;Alessandro Intini;2;0
367;Christophe Odent;2;1
368;Lindsay Crouse;0;5
369;Makiko Watanabe;0;2
370;Lola Dueñas;3;4
371;Chris Messina;7;3
372;Artyom Tsukanov;0;2
373;Yamazaki Hirona;0;1
374;Vanessa Staiss;0;1
375;Tatsuya Nakadai;0;3
376;Anna Canzi;1;0
377;Hayley Marie Norman;1;1
378;Giuseppe Cristiano;0;1
379;Scott Caan;3;0
380;Ferruccio Calamari;0;2
381;Milly Carlucci;4;0
382;Charlotte Rampling;3;20
383;Anjali Patil;0;2
384;Maddie Holliday;1;0
385;Chizuru Ikewaki;0;1
386;Janine Chun-Ning Chang;0;3
387;Andy Luotto;10;3
388;Angourie Rice;0;1
389;Angelo Murano;1;0
390;Bessie Love;1;0
391;Bruno Canfora;1;0
392;Steve Harris;1;0
393;Giacomo Mattia;2;1
394;Yaman Okay;0;2
395;Gianfelice Facchetti;0;1
396;Giulia Ramires;1;0
397;Giancarlo Previati;0;1
398;Sean Bridgers;0;2
399;Dominic Chianese;2;0
400;Reinhold Schünzel;0;1
401;Marco Columbro;1;0
402;Alessandro Guariento;0;1
403;Tom Clarke Hill;1;0
404;Lora Kojovic;0;1
405;Anthony Rapp;0;2
406;Stephen Park;1;1
407;Alice Trére;1;0
408;Antonio Velázquez;1;0
409;Frank Shields;0;1
410;Friederike Frerichs;1;0
411;Poty;1;0
412;Andrea Portal;0;2
413;Rachel Hendrix;0;1
414;Patrizia Canevari;1;0
415;Michael Madsen;3;2
416;Na-Yeon Kim;0;2
417;Roger Browne;0;1
418;Brigitte Bako;0;1
419;Rich McDonald;0;1
420;Zhiheng Wang;1;0
421;James Cagney;2;5
422;Darko Kastratovic;0;2
423;Meagen Fay;2;0
424;Agyness Deyn;0;2
425;Jack Weston;4;0
426;Lyndsy Fonseca;1;0
427;Vanessa Branch;2;0
428;Charles Walker;1;0
429;Mariuccia Speri;1;0
430;Tea Falco;3;0
431;Camille Ucan;0;1
432;Florent Gibassier;0;2
433;Massimo Poggio;3;1
434;Marijana Novakov;0;2
435;Jean-Louis Coullo'ch;0;1
436;Om Shivpuri;0;1
437;Nicholas Amer;0;2
438;Seli Gmach;1;0
439;Charlotte Tomaszewska;0;1
440;Romain Duris;7;3
441;Rosario Granados;1;2
442;Antonio Giancarlo Zavatteri;1;0
443;Giuliano Esperati;1;0
444;Algee Smith;0;2
445;Enrico Luzi;3;0
446;Leonardo Cortese;2;4
447;Mario Passante;1;1
448;Anja Schmidt;0;1
449;William Ash;1;0
450;Anna Diop;0;1
451;Nika McGuigan;0;1
452;Roberto Bruni;0;1
453;François Leccia;1;2
454;Claudio Casadio;0;2
455;Sharon Lewis;0;1
456;Shoji Kobayashi;1;0
457;Pauline Etienne;3;1
458;Pierfrancesco Poggi;0;1
459;Antonio Falsi;0;2
460;Élodie Larivière;0;1
461;Luciano Cáceres;0;1
462;Lars Rudolph;1;3
463;Tyler Stentiford;1;0
464;Paul Popowich;1;0
465;Helen Traubel;1;0
466;Libertad Green;1;0
467;Josh Peace;1;0
468;Michel Duplaix;1;0
469;Jacob Artist;0;1
470;Anthony Heald;1;0
471;Ilkka Koivula;0;1
472;Nicole Forester;0;1
473;Jester Caefe;0;1
474;Joseph Julian Soria;1;1
475;J.K. Simmons;14;3
476;Meghan Ory;2;0
477;Anna Konieczna;0;1
478;Malcolm Lunghi;1;0
479;Sue Mathew;1;0
480;Monica Potter;1;2
481;Venera Alexandrescu;1;0
482;Kyle Richards;1;0
483;Francesco Ager;1;0
484;Carla Besnaïnou;0;1
485;Lil Oggesen;1;0
486;José Antonio Amieva;0;1
487;Aneurin Barnard;1;4
488;Marco Zitelli;1;0
489;Giacomo Nasta;1;0
490;Tony Brutton;1;0
491;Danica McKellar;1;0
492;Simona Caramelli;0;5
493;Moon Shavit;0;2
494;Harry Melling;0;1
495;Lucy Gutteridge;2;0
496;Antonella Lo Coco;1;0
497;Alexandra Pirici;0;3
498;Carlos Pena;0;1
499;Terence Hill;11;5
500;Jack Kehoe;1;0
501;Leonardo Nam;1;0
502;Jung Eun-Chae;0;1
503;Jeff Fenter;0;1
504;George Segal;14;2
505;Federico Zardi;0;1
506;Nina Sosanya;1;0
507;Steve Hytner;1;0
508;Maria Clara Gonçalves;0;1
509;Iwona Petri;0;1
510;Asha Puthli;1;0
511;Gloria Gifford;1;0
512;Renzo Arbore;4;0
513;Saeed Jaffrey;0;2
514;Gaelle Jeantet;1;0
515;Gheorghe Ifrim;0;2
516;Meredith Bailey;0;1
517;Flavie Delangle;1;0
518;Adrian Purcarescu;0;1
519;Peter Chudy;1;0
520;Michael Jonsson;0;1
521;Sanae Nakahara;0;1
522;Gigi D'Alessio;1;0
523;Aleksey Glazyrin;0;1
524;Fatsah Bouyahmed;1;0
525;Emanuela Aurizi;1;0
526;Raymond Bussières;2;0
527;Toni Servillo;3;6
528;E. Alyn Warren;0;2
529;Cher;3;2
530;Sussan Taslimi;0;1
531;Ricky Ullman;0;1
532;Jessica Tovey;0;1
533;Phyllis Davis;1;0
534;Carmine De Padova;0;2
535;Marie Dressler;1;0
536;Jorge Suquet;1;1
537;Ruth McDevitt;1;1
538;Gina Mascetti;1;0
539;Jean-Louis Maury;0;2
540;Adriana Barbieri;0;1
541;Pamela Nomvete;0;2
542;Tatiana Chiline;0;1
543;Rubi;1;0
544;Elena Sofia Ricci;16;9
545;James Roday;1;0
546;Scott Baio;1;0
547;Peter Holene;1;0
548;Norman Chancer;1;0
549;Abylai Maratov;0;1
550;Sian Barbara Allen;0;1
551;Léora Barbara;0;1
552;Matt Shively;1;0
553;Jack Webb;0;2
554;Bryan Pringle;2;0
555;Luigi Giacosi;0;1
556;Sean Faris;1;1
557;Jazmyn Simon;1;0
558;Edmund Breese;0;1
559;Charlie Plummer;0;5
560;Erich Kober;0;1
561;France Dougnac;1;0
562;Melanie Lynskey;4;4
563;Sujin Kim;0;1
564;The Kiss;1;0
565;Essence Atkins;3;0
566;Jacque Lynn Colton;1;0
567;Pauline Martin;0;1
568;Max Malatesta;0;4
569;Callie Stephens;1;0
570;Pantelejmon Krymov;0;1
571;Aurelien Gaya;0;2
572;Bill Paterson;1;1
573;Jenny Elvers-Elbertzhagen;0;1
574;Aleksandr Sirin;0;2
575;Keo Knight;1;0
576;Natalie Gregory;1;0
577;Monalisa Basarab;1;0
578;Elizza La Porta;0;1
579;Joe Adler;1;0
580;Essie Davis;1;0
581;Carlo Hintermann;2;1
582;Colton Osorio;0;1
583;Galatéa Bellugi;0;1
584;Alan Ruck;5;1
585;Douglas Montgomery;0;1
586;Adele Legrá;0;1
587;Gene Saks;2;0
588;Maria Pompeu;0;1
589;Patrizia D'Alessandro;1;0
590;Andréas Voutsinas;1;0
591;Luca Laurenti;1;2
592;Demba Bâ;1;0
593;Megan Riordan;1;0
594;Mario Patané;1;0
595;Massimo Bagnato;1;0
596;Giampiero Littera;2;0
597;Marsha Waterbury;0;1
598;Brenna Sherman;0;1
599;Blythe Danner;8;3
600;Alberto Galetti;1;0
601;Scott Brady;2;0
602;Noah Le Gros;0;1
603;Barry Newman;2;0
604;Sofie Pedersen Munkholm;0;3
605;Krystian Alexander Lyttle;0;2
606;Loretta Young;1;2
607;Constance Rousseau;0;1
608;Kent Staines;1;0
609;Arlene Dahl;0;2
610;Rita Forzano;1;0
611;Stefano Eirale;0;1
612;Ray Romano;3;1
613;Frank Maharajh;1;0
614;Lil' Fizz;1;0
615;Barbara Cupisti;2;0
616;Ryne Sanborn;1;0
617;Kulbhushan Kharbanda;0;3
618;Corrado Giannetti;0;2
619;Jude Ciccolella;0;2
620;Jacques Gamblin;3;2
621;Peter Friedman;1;3
622;Alain Maratrat;1;0
623;Daniel Betances;0;1
624;Federico Costantini;2;1
625;Tiberio Murgia;15;0
626;Holly Hindman;1;0
627;Julie Hagerty;10;0
628;Andy Comeau;1;0
629;Ashley Springer;1;1
630;Iris Adrian;1;0
631;Magy;1;0
632;Gastón Salgado;0;1
633;Jules Houplain;1;0
634;Gregg Palmer;1;0
635;Beatrice Rosenblatt;1;0
636;Mia Stallard;1;1
637;Fernando Guallar;1;0
638;Lisa Glaze;1;0
639;Amy Stewart;0;1
640;Olivia Short;1;0
641;Nicolette Pierini;1;0
642;Miguel Rellán;0;3
643;Nils Poppe;0;1
644;Robert Benchley;1;0
645;Bianca Lawson;1;0
646;Derek Carter;1;0
647;Vittorio Vigneri;0;2
648;Francesca Chillemi;2;5
649;Anne Consigny;0;5
650;Dalton James;1;0
651;Annette Ciarli;1;1
652;Walter Williams;1;0
653;Issey Takahashi;0;1
654;Eric Estrada;0;1
655;Juncong Xu;1;0
656;Conrad McLaren;1;0
657;Axel Vera;0;1
658;Grégory Gadebois;1;6
659;Nino Frassica;13;3
660;Mariya Kuznetsova;0;1
661;Daniel Stewart Sherman;1;0
662;Pierrette Robitaille;0;1
663;Chris Wiggins;0;1
664;Marco Iannone;1;0
665;Abhay Deol;0;1
666;Franco Barbero;1;0
667;Sara Cardinaletti;1;1
668;Buba Bayour;1;0
669;Simón Arriaga;1;0
670;Wesley Snipes;4;0
671;Zazie De Paris;1;0
672;Leilah de Meza;1;0
673;Alexander Godunov;1;0
674;Andrzej Poniedzielski;0;1
675;Henry Bergman;2;0
676;Blanca Suárez;2;2
677;Brad Gorton;1;0
678;Jeremie Galan;0;2
679;Stefano Madia;0;1
680;Dichen Lachman;0;1
681;John Slattery;1;0
682;Christopher Langevin;0;1
683;Ramey Short;0;1
684;Mabô Kouyaté;1;0
685;Salvatore Striano;0;2
686;Terence Yin;1;0
687;Wings Hauser;1;0
688;Masa Yamaguchi;0;1
689;Uri Klauzner;0;1
690;Juan del Pozo;1;0
691;Kainowa Lauritzen;1;0
692;Antonio Mendes;1;0
693;Sungkeun Moon;0;1
694;Jean-Claude Bauldracco;0;1
695;Chris Isaak;1;1
696;Marcial Di Fonzo;1;0
697;Valentino Dain;0;1
698;Liliana Chiari;1;1
699;Jennifer Kendal;0;1
700;Soo Go;0;2
701;Patrick J. Adams;2;2
702;Amalia Micheluzzi;1;0
703;Keng Li;0;1
704;Anong Houngheuangsy;0;1
705;Jasmine Dubé;0;2
706;Federico Jahier;1;0
707;Sadao Abe;0;1
708;Rooney Mara;0;3
709;Paul Sanchez;0;1
710;Michela Noonan;1;2
711;Matthew Scott Wilcox;0;1
712;Micheline Luccioni;1;0
713;Merfin Selimovic;0;1
714;Claudia Botti;0;2
715;Hjalmar Selander;0;2
716;Giada Colagrande;0;2
717;Birgit Tengroth;0;3
718;Brian Ames;1;0
719;Damien Odoul;1;0
720;Abbie Cobb;2;0
721;Ralph Riach;0;2
722;Budar;0;1
723;Lamberto Picasso;0;1
724;Augusto Zazzaro;0;2
725;Olivier Martinez;0;2
726;Luna Bendandi;0;2
727;Malu Maia;0;1
728;Louise Lasser;4;0
729;Jeremy Glazer;1;0
730;Anaïs Reboux;0;3
731;Diana Rigg;2;1
732;June Collyer;0;1
733;Thelma Todd;4;0
734;Liù Bosisio;4;0
735;Olympia Dukakis;3;9
736;Juan Margallo;1;2
737;Dinesh Lamba;1;0
738;Marina Palii;0;3
739;Tino Carbona;1;0
740;Madeline Brewer;0;1
741;Darcy Fehr;0;3
742;Miguel Manzano;0;2
743;Jean-Claude Dreyfus;0;1
744;Tilly Losch;0;3
745;Alida Chelli;3;0
746;Rosina Mendía;0;4
747;Oscar Salomonsson;1;0
748;Eric Gustavson;1;0
749;Amédée;0;1
750;Chete Lera;0;1
751;Millicent Martin;1;1
752;Silvio Noto;0;1
753;Maarten Dannenberg;0;1
754;Sergei Yermilov;0;1
755;Hannah Murray;1;1
756;Chris Parnell;2;0
757;Norbert Weisser;0;1
758;Assaad Bouab;0;1
759;Victor Banerjee;0;2
760;Corrado Guzzanti;8;0
761;Lucia Bosé;5;9
762;Christopher Mintz-Plasse;5;0
763;Joe Cosgrove;1;0
764;Vanessa Angel;4;0
765;Giorgio Bonora;0;1
766;Letizia Filippi;0;1
767;Vincent Perez;1;7
768;Sarah Hudnut;1;0
769;Jared Gilman;1;0
770;Laurence Olivier;4;7
771;Richard Evans;0;1
772;Mara Werlen;1;0
773;Pascal Elso;1;0
774;Cora Sue Collins;0;2
775;M. Shirzad;1;0
776;Robin Pearson Rose;1;0
777;Noemie Chelkoff;0;1
778;Calvin Lockhart;1;0
779;Gopa Aich;0;1
780;Jon Bon Jovi;3;0
781;Yanick Renier;0;2
782;Chris Lowell;1;2
783;Carlos Hernandez;0;2
784;Andrey Smirnov;0;1
785;Vladimir Erenberg;0;1
786;Emilio Gutiérrez Caba;1;0
787;Peter Serafinowicz;4;0
788;Freddie Stroma;2;0
789;Giada Benedetti;1;0
790;Liz White;0;4
791;John Sutton;0;1
792;Roscoe Ates;0;1
793;Nancy Joy Page;0;1
794;Ricardo Aibéo;0;1
795;Wolfman Jack;1;0
796;Robyn Douglass;2;0
797;Jean Dasté;0;1
798;Alexander Abdulov;0;1
799;Matthew McNulty;1;1
800;Alan Cumming;5;2
801;Sterling K. Brown;0;1
802;Salvatore Gattuso;0;1
803;Nalan Kuruçim;0;1
804;Andrea Ros;2;0
805;Stephanie Koenig;1;0
806;Marc Robert;0;2
807;Annelise Hesme;1;0
808;Maxime Laloux;0;1
809;Alexis Michalik;1;0
810;Mario Feliciani;1;1
811;Adrian Galley;1;2
812;Paul Massie;0;2
813;Pascal Reneric;2;0
814;Antonio Piretti;1;0
815;Jack Wagner;0;1
816;Enrico Papi;1;0
817;Raf Vallone;4;12
818;Sam Downey;0;1
819;Elenita Pessoa;1;0
820;Giovanni Crespi;0;1
821;Simon Delaney;0;1
822;Dorothy Shupenes;0;1
823;Oscar Aerts;1;0
824;Jorge Calvo;1;0
825;Melanie Lenz;0;1
826;Joe Anderson;1;4
827;Nacer Khemir;0;1
828;Jon Morgan Woodward;0;1
829;Gina Tognoni;0;3
830;Philippe Suner;1;0
831;Katharine King;0;2
832;Tammany Young;1;0
833;Alex Moreu Garriga;0;1
834;Theo Lingen;0;2
835;Lonette McKee;1;0
836;Einar Tveito;0;1
837;Michael Shannon;2;5
838;Sadie Sink;1;0
839;Anne Reid;2;1
840;Caitlin Fitzgerald;1;2
841;Ettore Bassi;2;1
842;Lucia Gravante;1;0
843;Zeinolda Igiza;1;0
844;Rodolphe Blanchet;0;1
845;Pier Paolo Pasolini;1;0
846;Aïssa Maïga;2;1
847;Frankie Howard;1;0
848;Phillip Rhys;1;0
849;Gerardo Del Razo;0;2
850;Jessie Thomas;0;2
851;Celeste Cescutti;0;1
852;Federico Galante;1;1
853;Terrence DaShon Howard;0;1
854;Hervé Masquelier;1;0
855;Mandala Tayde;1;2
856;Evelyne Bruniquel-Lebert;0;1
857;Hannelore Hoger;0;1
858;Dado Crostarosa;1;0
859;Joe Urla;1;0
860;Jan Frycz;0;1
861;Viktor Nemets;0;2
862;Erin Karpluk;1;2
863;Jason Priestley;3;3
864;Anita Pallenberg;2;0
865;Jenna Nye;1;0
866;Marisa Solinas;3;1
867;Valeria Barreca;1;0
868;Michael Lonsdale;6;4
869;Kim Young-min;0;3
870;Peggie Castle;0;3
871;Afro Poli;0;2
872;Craig Robinson;5;1
873;Giorgio Musumeci;0;1
874;Giuseppina Matteotti;1;0
875;Sarah Azhari;0;1
876;Stylane Lecaille;1;0
877;Ramla Ayari;1;0
878;Rita Pavone;1;0
879;Kym Whitley;2;0
880;Margarethe Von Trotta;0;1
881;Ana Javakishvili;0;1
882;Vithaya Pansringarm;1;0
883;Marthe Bernard;0;1
884;Petula Clark;2;0
885;Daniel Ceccaldi;1;0
886;Michiel Romeyn;0;2
887;Simon Sears;0;1
888;Leslie Carlson;1;1
889;Ireri Solís;0;1
890;Luís de Sousa Costa;1;0
891;Nguyen Anh Hoa;0;4
892;Donata Genazzani;1;0
893;Liudmila Smorodina;0;1
894;Sara Podda;0;1
895;Jace Alexander;0;1
896;Joe Estevez;1;0
897;Sergio D'Auria;1;0
898;Claude Aufaure;1;1
899;Delphine Rivière;1;0
900;Tyler Ross;0;1
901;Roxana Zal;0;1
902;Shigeo Kobayashi;0;1
903;Liana Liberato;0;7
904;Alexandre Roger;0;1
905;Bill MacDonald;1;0
906;Sandro Panseri;1;0
907;Patrick John Flueger;1;0
908;Élise Otzenberger;1;0
909;Jean-Nicolas Verreault;0;1
910;Ray Santiago;1;0
911;Morten Hemmingsen;0;2
912;Joseph Gilgun;0;1
913;Bryan Callen;1;0
914;Lucille La Verne;1;0
915;Haydee Politoff;1;0
916;Frances Sternhagen;3;0
917;Candice Bergen;11;0
918;Leslie Daniels;0;1
919;Dino Abbrescia;14;3
920;Cherilyn Wilson;1;0
921;Vincent Elbaz;3;0
